id,severity,cvss_score,cvss_vector,finding_type,title,description,impact,mitigation,replication_steps,host_detection_techniques,network_detection_techniques,references,finding_guidance,tags
19,Medium,5.0,,Network,Insecure Account Lockout Policy,<p>The lack of an account lockout duration combined with a weak password policy allows an attacker to spray passwords across the TODO environment with no repercussions.</p>,<p>The team was able to leverage the lack of an account lockout duration to spray pilfered credentials across the network. This resulted in the compromise of multiple web portals. This greatly increases the risk of password spraying attacks which further combines the risk of weak passwords across the network.</p>,"<ul>
<li>Revise the account lockout policy to reflect NIST standards</li>
</ul>",,,,"<ul>
<li>https://pages.nist.gov/800-63-3/sp800-63b.html#throttle</li>
</ul>",,
17,Medium,5.0,,Network,Sensitive Data Encoded in QR Code,"<p>Any user can encode point data into the QR code, allowing them to redeem a false amount of points. Additionally, a malicious actor can scan the QR code from the user’s computer, obtaining their account username, password, and amount of points.</p>","<p>By logging into a user’s reward point account, the team was able to obtain the user’s rewards QR code. Using open source tools to scan and investigate the code, the team can reveal the user’s username, password, and amount of points. This can be used to leak user credentials or nonexistent false points.</p>","<ul>
<li>Modify QR code data format to not reveal account username, and password.</li>
<li>Validate account points from a database rather than directly from a QR code.</li>
</ul>",,,,,,
16,Medium,5.0,,Network,Username Enumeration,"<p>A malicious actor can test if users exist on the TODO system, allowing them to create a list of valid users to attempt to breach. This list can be further used across the domain in phishing campaigns, password spraying attacks or other techniques.</p>","<p>By attempting a login with an invalid username, the TODO portal returns the error “Login Error: user not found”. If a valid username is entered, the portal returns the error message of “Login Error: Invalid Password”. When different messages are returned for a valid and invalid username, this allows a malicious user to determine if a user exists on the rewards system.</p>","<ul>
<li>Return the same login error message for both a valid and invalid submitted username.</li>
</ul>",,,,,,
20,Medium,5.0,,Network,Users Can Join Workstations to the Domain,<p>All users are able to add up to TODO workstations to the domain. This allows regular users to create machine accounts and gain a persistent level of privilege.</p>,"<p>Authenticated users have the ability to add machines to the domain, an attacker could leverage this ability to add their machines and gain a higher level of persistence. The current configuration is not in line with the principle of least privilege and should be remediated so that only members of the technical department Organizational Unit (OU) are able to join machines.</p>","<ul>
<li>Reduce the machine account quota granted to domain users</li>
<li>Only members of the technical department OU are able to join machines to the domain</li>
</ul>",,,,"<ul>
<li>https://learn.microsoft.com/en-us/windows/win32/adschema/a-ms-ds-machineaccountqu ota</li>
</ul>",,
43,Medium,5.0,,Network,Windows SID Enumeration,<p>The team withheld the ability to enumerate Windows SIDs (Security Identifiers) via utilizing the Impacket python utility. Attempting to brute force Windows SIDs on a Windows network could potentially reveal information about the users and groups that exist on a remote server.</p>,"<p>Users have the ability to utilize the users and groups enumerated within the Impacket brute force in various other exploitation methods:</p>
<p>Successful enumeration of SIDs could provide a threat actor with a list of existing users and groups on the network. This information is valuable for an attacker as it allows them to identify potential targets for further exploitation. Understanding the SIDs of high-privileged accounts or groups assisted the team in targeting these entities for password brute-forcing and password spraying attacks. Armed with information about specific users or groups, an attacker could launch more targeted attacks, such as spear-phishing or other social engineering techniques, to compromise specific individuals.</p>","<ul>
<li>Strong Password Policies - By utilizing strong password policies, a threat actor would be unable to identify valid credentials associated with the remote users.</li>
<li>Account Lockout Policies - Implementing a lockout policy to prevent users from attempting consecutive logins can prevent password spraying against these users.</li>
<li>Two-Factor Authentication (2FA) - Implementing 2FA on login services to these respective Windows SIDs will prevent a user from gaining initial access once passwords are found for these users or groups.</li>
</ul>",,,,"<p>https://learn.microsoft.com/en-us/windows-server/identity/ad-ds/manage/understand-security-identifiers</p>
<p>https://learn.microsoft.com/en-us/windows/win32/secauthz/well-known-sids</p>",,
15,Medium,4.0,,Network,Insecure SSH Configuration,<p>SSH configuration on domain joined Linux machines allows root login. The superuser account should never be allowed to logon directly over the network. Allowing root user login subverts other security measures such as the sudo command.</p>,<p>By viewing the SSH server configuration we can see below that the directive “PermitRootLogin” is set to “yes”. This allows remote users to login to the superuser account. If there is a weak or reused password this increases the risk of full system compromise. It is recommended that TCC disable root login over SSH and properly implement SUDO rules.</p>,"<ul>
<li>Change SSH configuration to follow industry best practices</li>
<li>Remove PermitRootLogon from SSH Configuration</li>
</ul>",,,,<p>https://www.ssh.com/academy/ssh/sshd_config</p>,,
13,Medium,4.0,,Network,Unprotected Administrators,<p>The team found that domain administrators were not members of the special protected users group. Making administrators members of this group would prevent the exfiltration of cached passwords and force a higher level of security for interactions with the accounts.</p>,"<p>Adding the domain administrators to the protected users group offers them a higher level of technical control. Membership to this group would decrease ticket lifetimes, mandate stronger encryption, prevent password caching, and disable NTLM authentication.</p>","<ul>
<li>Add the administrative accounts and or groups to the protected users group</li>
</ul>",,,,"<ul>
<li>https://learn.microsoft.com/en-us/windows-server/identity/ad-ds/manage/how-to-configur e-protected-accounts#BKMK_AddtoProtectedUsers</li>
</ul>",,
4,Medium,4.0,,Web,Communications Over HTTP,"<p>Multiple web servers employed the use of unencrypted web traffic. If an attacker were to be sniffing traffic over the network, they would be able to see the communications, potentially revealing sensitive information such as user credentials or proprietary business information.</p>","<p>HTTP is an unencrypted protocol that is easily able to be intercepted and inspected with open source tools. The web server and all login portals transmit all traffic over HTTP. Meaning that an attacker, with internal access to the network, can view the credentials of users logging in as they are sent.</p>","<ul>
<li>Enable strict use of HTTPS on all applicable hosts</li>
</ul>",,,,"<ul>
<li>https://www.hostinger.com/tutorials/ssl/forcing-https</li>
</ul>",,"insecure,http,unencrypted,web"
3,Low,3.0,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,Web,Exposed Dashboard,<p>A web server showing the TODO dashboard will leak various information pertaining to the environment. This configuration console is not protected by any form of authentication or access controls.</p>,"<p>The exposed web server lists the “dashboard” directory with host information pertaining to the environment and configuration. This dashboard leaked many pieces of sensitive information such as, TODO. With this information an attacker is easily able to identify key details related to the machine and further craft exploits and attacks.</p>","<ul>
<li>Enable access controls to prevent unauthenticated users from viewing the dashboard</li>
<li>If unneeded, disable the {dashboard} dashboard</li>
</ul>",<p> Configuration console is not protected by any form of authentication or access controls</p>,<p>Enumerate</p>,,"<ul>
<li>https://www.php.net/manual/en/function.phpinfo.php</li>
</ul>",,"dashboard,exposed,phpinfo"
34,Low,2.0,,Network,Sensitive Data in URL GET Query Parameters,"<p>Sensitive data may be intercepted by an attacker with the ability to read application traffic or logs. The attacker may then be able to perform chosen actions via the user's account, unbeknownst to the user.</p>","<p>Several parameters containing sensitive values are transmitted in URL GET query parameters. These parameters include TODO. Sending sensitive information via URL GET query parameters unnecessarily exposes these values in logs, caches, and TODO.</p>","<ul>
<li>Submit the above parameters using POST requests, instead of GET requests. The parameters should be passed in the POST request body and not as URL query parameters.</li>
<li>update all links from TODO to ensure that data is not unnecessarily exposed to third-party sites</li>
</ul>",,,,,,
37,Low,2.0,,Web,Unprofessional/Unfinished TOS,"<p>Terms of Service (TOS) agreements are important legally binding documents that should clearly outline to users how they're expected and allowed to use an organization's systems. A well-drafted TOS limits an organization's liability by outlining the acceptable use of company systems, it provides a legal basis for a company to enforce its rules.</p>","<p>Without a well-written Terms of Service agreement, there's legal ambiguity as to how a user is meant to use a system, this can result in uncertainty and legal battles regarding how situations should be resolved. A good TOS clearly outlines user expectations, lays out a framework for handling customer data and privacy, and lays out clear terms for payments and disputes where applicable. The team discovered a public-facing unfinished TOS on TODO, which lacked these features, resulting in a less professional appearance, and potentially opening up {{ .client }} to legal vulnerability.</p>","<ul>
<li>Consult {{ .client }}'s legal team to write a comprehensive Terms of Service agreement</li>
</ul>",,,,,,
29,Informational,0.0,,Network,Enticement Information,<p>Attackers are able to gain insight on internal network technologies and security adverse individuals from public {{.client}} employee postings on social media.</p>,"<p>Through the employment of social network analysis the team was able to discover various {{.client}} employees divulging information relating to {{.client}}’s security posture. In addition, public job postings were able to provide insight on the internal {{.client}} tech stack.</p>","<ul>
<li>Implement social media security training with existing employee enrichment</li>
</ul>",,,,,,
30,Informational,0.0,,Network,Publicly Exposed CCTV,"<p>Open {{.client}} webcams can be found at TODO. Using a standard internet browser, any agent can access and view the live feeds of the cameras.</p>","<p>Using techniques such as google dorking the team was able to find internal {{.client}} webcam feeds. Unauthenticated attackers are able to view, log, and monitor potentially sensitive customer interactions and potential leakage of PII.</p>","<ul>
<li>Require authentication to view internal CCTV</li>
<li>Do not host internal CCTV to the open internet</li>
</ul>",,,,"<ul>
<li><a href=""https://www.exploit-db.com/google-hacking-database"">https://www.exploit-db.com/google-hacking-database</a></li>
</ul>",,
